site name,time,grid,diesel,solar
site1,0,2.24,2.24,0.0
site1,1,2.15,2.15,0.0
site1,2,2.085,2.085,0.0
site1,3,2.075,2.075,0.0
site1,4,2.16,2.16,0.0
site1,5,2.085,2.085,0.24
site1,6,1.6150000000000002,1.6150000000000002,1.22
site1,7,0.16500000000000004,0.16500000000000004,4.14
site1,8,-1.5699999999999998,-1.5699999999999998,7.68
site1,9,-2.775,-2.775,10.18
site1,10,-3.2750000000000004,-3.2750000000000004,11.32
site1,11,-2.5800000000000005,-2.5800000000000005,9.8
site1,12,0.29000000000000004,0.29000000000000004,4.16
site1,13,0.28500000000000014,0.28500000000000014,4.08
site1,14,0.3699999999999999,0.3699999999999999,3.98
site1,15,0.45999999999999996,0.45999999999999996,3.92
site1,16,0.6300000000000001,0.6300000000000001,3.68
site1,17,1.4100000000000001,1.4100000000000001,1.88
site1,18,2.1750000000000003,2.1750000000000003,0.34
site1,19,2.395,2.395,0.0
site1,20,2.535,2.535,0.0
site1,21,2.53,2.53,0.0
site1,22,2.46,2.46,0.0
site1,23,2.27,2.27,0.0
site1,24,2.245,2.245,0.0
site1,25,2.23,2.23,0.0
site1,26,2.13,2.13,0.0
site1,27,2.135,2.135,0.0
site1,28,2.1500000000000004,2.1500000000000004,0.02
site1,29,2.105,2.105,0.14
site1,30,2.11,2.11,0.32
site1,31,1.905,1.905,0.86
site1,32,1.1600000000000001,1.1600000000000001,2.5
site1,33,0.25,0.25,4.3
site1,34,-1.38,-1.38,7.64
site1,35,1.5299999999999998,1.5299999999999998,1.82
site1,36,0.2200000000000002,0.2200000000000002,4.6
site1,37,0.5049999999999999,0.5049999999999999,3.92
site1,38,-1.6950000000000003,-1.6950000000000003,8.22
site1,39,0.1200000000000001,0.1200000000000001,4.74
site1,40,0.7000000000000002,0.7000000000000002,3.54
site1,41,1.6400000000000001,1.6400000000000001,1.64
site1,42,2.2600000000000002,2.2600000000000002,0.46
site1,43,2.38,2.38,0.12
